Question	Option A	Option B	Option C	Option D	GT
What is the potential use case for storing malicious data or code mentioned in the description?	In-band communication to command and control infected systems	Lateral movement within compromised networks	Storing hidden metadata to evade detection	Using file streams to hide malware	C
What is the purpose of storing other data, in addition to a file's contents, in a complex file format?	To reduce file size	To enhance file searchability	To store hidden metadata	To facilitate data deduplication	C
Why might an attacker store malicious data or code using these file facilities, according to the description?	To increase the file's perceived legitimacy	To make the malware more difficult to detect	To command and control infected systems	To disrupt network communication	B
What is an example of a type of data that can be stored using file facilities, according to the description?	Executable code	Thumbnail images	Encrypted data	System logs	B
What is a characteristic of the stored malicious data or code, according to the description?	It is always deleted automatically after a specified period	It is visible during the normal use of the file	It is difficult to discover	It is always executed immediately	C
An attacker injects meta-characters into an email header to manipulate the behavior of an email client. What is the primary goal of this type of attack?	To gain unauthorized access to the email client's system.	To inject malicious code into the email client's rendering engine.	To manipulate the email client's behavior and execute attacks.	To extract sensitive information from the email client's database.	C
Which of the following is a common feature that has increased the susceptibility of email applications to attacks?	Authentication mechanisms.	Plug-in routines for rendering complex content.	Encryption protocols for securing email traffic.	Limited preview mode for attachments.	B
Why do attackers target email headers to exploit email clients?	Because email headers are the most commonly used metadata in emails.	Because email headers often contain sensitive information about the email client.	Because email headers can be manipulated to execute attacks.	Because email headers are disabled by default in most email clients.	C
What is the primary challenge in detecting this type of attack?	Identifying the malicious payload in the email header.	Understanding the behavior of the email client under attack.	Analyzing the email header information for meta-characters.	Recognizing the email client's default behavior under normal circumstances.	B
What is a common characteristic of meta-characters in email headers?	They are always visible to the email client's user.	They are always hidden from the user's view.	They can be used to inject scripts or attacks.	They are only present in encrypted emails.	B
In this scenario, what is the primary goal of the adversary in capturing screenshots?	To steal sensitive information directly from the system	To collect information about the system's screen capture functionality	To gather intelligence on the target system's behavior	To monitor the target system's screen activity	C
What CAPEC pattern technique is employed by the adversary in this scenario?	CAPEC-74: Post-Authentication Activities	CAPEC-79: Session Prediction	CAPEC-121: Screen Scraping	CAPEC-157: Keystroke Logging	C
What could the adversary leverage to carry out further attacks after gathering information from screenshots?	Exploiting system vulnerabilities	Using stolen login credentials	Launching a social engineering attack	Sending phishing emails	B
What is the primary source of information for the adversary in this scenario?	System logs	Device sensor data	Screen capture functionality	System audio output	C
What type of attack is being perpetrated by the adversary in this scenario, as a result of exploiting the screen capture functionality?	Insider Threat	Man-in-the-Middle	Screen Scraping	Brute Force Attack	C
What is the primary method used by the attacker in this scenario?	SQL injection	Code injection	Command injection	Cross-site scripting	C
Which type of attack is being described in the scenario?	CAPEC-21 - OS Command Injection	CAPEC-34 - Buffer Overflow	CAPEC-16 - Malicious File Execution	CAPEC-12 - SQL Injection	A
What is the primary goal of the attacker in this scenario?	To access sensitive data	To take control of the system	To manipulate the application's behavior	To disrupt the system's functionality	C
